channel_id,channel_name,sum_data/dpi/sum,sum_data/dpi/proportion,sum_data/fans/sum,sum_data/fans/proportion,sum_data/contents/sum,sum_data/contents/proportion,sum_data/impressions/sum,sum_data/impressions/proportion,sum_data/reach/sum,sum_data/reach/proportion,sum_data/engagement/sum,sum_data/engagement/proportion,detail_data/dpi/month/date,detail_data/dpi/month/value,detail_data/dpi/daily/date,detail_data/dpi/daily/value,detail_data/fans/month/date,detail_data/fans/month/value,detail_data/fans/daily/date,detail_data/fans/daily/value,detail_data/contents/month/date,detail_data/contents/month/value,detail_data/contents/daily/date,detail_data/contents/daily/value,detail_data/impressions/month/date,detail_data/impressions/month/value,detail_data/impressions/daily/date,detail_data/impressions/daily/value,detail_data/reach/month/date,detail_data/reach/month/value,detail_data/reach/daily/date,detail_data/reach/daily/value,detail_data/engagement/month/date,detail_data/engagement/month/value,detail_data/engagement/daily/date,detail_data/engagement/daily/value
,,,,,,,,,,,,,,2020/09,169001,2020/08/12,8483,2020/09,151998,2020/08/12,830,2020/09,137741,2020/08/12,8019,2020/09,148439,2020/08/12,9439,2020/09,151449,2020/08/12,2283,2020/09,169259,2020/08/12,5888
,,,,,,,,,,,,,,2020/10,158818,2020/08/13,4175,2020/10,161802,2020/08/13,5020,2020/10,130119,2020/08/13,2579,2020/10,147300,2020/08/13,7217,2020/10,165659,2020/08/13,6318,2020/10,144075,2020/08/13,4144
,,,,,,,,,,,,,,,,2020/08/14,7579,,,2020/08/14,8987,,,2020/08/14,2860,,,2020/08/14,5153,,,2020/08/14,3329,,,2020/08/14,6537
,,,,,,,,,,,,,,,,2020/08/15,655,,,2020/08/15,6469,,,2020/08/15,9923,,,2020/08/15,2246,,,2020/08/15,8397,,,2020/08/15,1085
,,,,,,,,,,,,,,,,2020/08/16,8768,,,2020/08/16,226,,,2020/08/16,6698,,,2020/08/16,171,,,2020/08/16,7251,,,2020/08/16,1953
,,,,,,,,,,,,,,,,2020/08/17,754,,,2020/08/17,8720,,,2020/08/17,9446,,,2020/08/17,7959,,,2020/08/17,8117,,,2020/08/17,1473
,,,,,,,,,,,,,,,,2020/08/18,550,,,2020/08/18,4487,,,2020/08/18,4038,,,2020/08/18,7245,,,2020/08/18,8813,,,2020/08/18,1470
,,,,,,,,,,,,,,,,2020/08/19,5856,,,2020/08/19,9334,,,2020/08/19,407,,,2020/08/19,1029,,,2020/08/19,6844,,,2020/08/19,7978
,,,,,,,,,,,,,,,,2020/08/20,5642,,,2020/08/20,4186,,,2020/08/20,725,,,2020/08/20,6947,,,2020/08/20,6793,,,2020/08/20,9860
,,,,,,,,,,,,,,,,2020/08/21,6173,,,2020/08/21,4786,,,2020/08/21,3587,,,2020/08/21,3105,,,2020/08/21,8220,,,2020/08/21,6329
,,,,,,,,,,,,,,,,2020/08/22,9811,,,2020/08/22,8379,,,2020/08/22,7933,,,2020/08/22,2661,,,2020/08/22,4918,,,2020/08/22,2419
,,,,,,,,,,,,,,,,2020/08/23,2175,,,2020/08/23,3523,,,2020/08/23,2274,,,2020/08/23,2918,,,2020/08/23,5407,,,2020/08/23,123
,,,,,,,,,,,,,,,,2020/08/24,911,,,2020/08/24,9583,,,2020/08/24,358,,,2020/08/24,661,,,2020/08/24,3751,,,2020/08/24,4506
,,,,,,,,,,,,,,,,2020/08/25,1501,,,2020/08/25,7147,,,2020/08/25,6901,,,2020/08/25,8942,,,2020/08/25,8011,,,2020/08/25,1739
,,,,,,,,,,,,,,,,2020/08/26,5632,,,2020/08/26,3332,,,2020/08/26,6912,,,2020/08/26,2477,,,2020/08/26,3216,,,2020/08/26,100
,,,,,,,,,,,,,,,,2020/08/27,5899,,,2020/08/27,2204,,,2020/08/27,6501,,,2020/08/27,3728,,,2020/08/27,5364,,,2020/08/27,627
,,,,,,,,,,,,,,,,2020/08/28,1731,,,2020/08/28,1837,,,2020/08/28,4922,,,2020/08/28,3590,,,2020/08/28,8628,,,2020/08/28,7472
,,,,,,,,,,,,,,,,2020/08/29,6926,,,2020/08/29,5909,,,2020/08/29,777,,,2020/08/29,8294,,,2020/08/29,1097,,,2020/08/29,602
,,,,,,,,,,,,,,,,2020/08/30,8236,,,2020/08/30,8811,,,2020/08/30,5645,,,2020/08/30,2162,,,2020/08/30,1422,,,2020/08/30,3173
,,,,,,,,,,,,,,,,2020/08/31,9579,,,2020/08/31,9181,,,2020/08/31,4966,,,2020/08/31,894,,,2020/08/31,3986,,,2020/08/31,6553
,,,,,,,,,,,,,,,,2020/09/01,9262,,,2020/09/01,9067,,,2020/09/01,9483,,,2020/09/01,4287,,,2020/09/01,9356,,,2020/09/01,1368
,,,,,,,,,,,,,,,,2020/09/02,4625,,,2020/09/02,154,,,2020/09/02,4748,,,2020/09/02,7653,,,2020/09/02,6191,,,2020/09/02,4436
,,,,,,,,,,,,,,,,2020/09/03,7653,,,2020/09/03,6703,,,2020/09/03,1131,,,2020/09/03,1933,,,2020/09/03,3994,,,2020/09/03,5622
,,,,,,,,,,,,,,,,2020/09/04,9392,,,2020/09/04,5553,,,2020/09/04,8174,,,2020/09/04,6395,,,2020/09/04,7605,,,2020/09/04,8567
,,,,,,,,,,,,,,,,2020/09/05,2054,,,2020/09/05,485,,,2020/09/05,40,,,2020/09/05,7531,,,2020/09/05,4046,,,2020/09/05,9698
,,,,,,,,,,,,,,,,2020/09/06,3050,,,2020/09/06,7107,,,2020/09/06,246,,,2020/09/06,8570,,,2020/09/06,5452,,,2020/09/06,9927
,,,,,,,,,,,,,,,,2020/09/07,9167,,,2020/09/07,9842,,,2020/09/07,5437,,,2020/09/07,9474,,,2020/09/07,6861,,,2020/09/07,6791
,,,,,,,,,,,,,,,,2020/09/08,7891,,,2020/09/08,3888,,,2020/09/08,9719,,,2020/09/08,2507,,,2020/09/08,8073,,,2020/09/08,8705
,,,,,,,,,,,,,,,,2020/09/09,3715,,,2020/09/09,2166,,,2020/09/09,3213,,,2020/09/09,4263,,,2020/09/09,7846,,,2020/09/09,2376
,,,,,,,,,,,,,,,,2020/09/10,3912,,,2020/09/10,2753,,,2020/09/10,7230,,,2020/09/10,1587,,,2020/09/10,349,,,2020/09/10,5030
,,,,,,,,,,,,,,,,2020/09/11,6159,,,2020/09/11,9704,,,2020/09/11,2926,,,2020/09/11,4975,,,2020/09/11,5855,,,2020/09/11,723
,,,,,,,,,,,,,,,,2020/09/12,1734,,,2020/09/12,8961,,,2020/09/12,2649,,,2020/09/12,9323,,,2020/09/12,4472,,,2020/09/12,6053
,,,,,,,,,,,,,,,,2020/09/13,5397,,,2020/09/13,1076,,,2020/09/13,4339,,,2020/09/13,7630,,,2020/09/13,6543,,,2020/09/13,8781
,,,,,,,,,,,,,,,,2020/09/14,3883,,,2020/09/14,5240,,,2020/09/14,3918,,,2020/09/14,3539,,,2020/09/14,2567,,,2020/09/14,2815
,,,,,,,,,,,,,,,,2020/09/15,5318,,,2020/09/15,4670,,,2020/09/15,8417,,,2020/09/15,6316,,,2020/09/15,5855,,,2020/09/15,2711
,,,,,,,,,,,,,,,,2020/09/16,8165,,,2020/09/16,5839,,,2020/09/16,8168,,,2020/09/16,271,,,2020/09/16,8518,,,2020/09/16,9783
,,,,,,,,,,,,,,,,2020/09/17,8388,,,2020/09/17,5024,,,2020/09/17,1828,,,2020/09/17,2690,,,2020/09/17,3384,,,2020/09/17,3108
,,,,,,,,,,,,,,,,2020/09/18,4278,,,2020/09/18,1090,,,2020/09/18,3869,,,2020/09/18,7378,,,2020/09/18,4129,,,2020/09/18,6340
,,,,,,,,,,,,,,,,2020/09/19,4986,,,2020/09/19,1554,,,2020/09/19,9051,,,2020/09/19,911,,,2020/09/19,9752,,,2020/09/19,6537
,,,,,,,,,,,,,,,,2020/09/20,6316,,,2020/09/20,0,,,2020/09/20,174,,,2020/09/20,4830,,,2020/09/20,476,,,2020/09/20,5305
,,,,,,,,,,,,,,,,2020/09/21,8317,,,2020/09/21,7754,,,2020/09/21,8499,,,2020/09/21,4004,,,2020/09/21,4716,,,2020/09/21,204
,,,,,,,,,,,,,,,,2020/09/22,9972,,,2020/09/22,5654,,,2020/09/22,3579,,,2020/09/22,9527,,,2020/09/22,7283,,,2020/09/22,7352
,,,,,,,,,,,,,,,,2020/09/23,8629,,,2020/09/23,7078,,,2020/09/23,1003,,,2020/09/23,5039,,,2020/09/23,2290,,,2020/09/23,7882
,,,,,,,,,,,,,,,,2020/09/24,1697,,,2020/09/24,7855,,,2020/09/24,5317,,,2020/09/24,2396,,,2020/09/24,4740,,,2020/09/24,1060
,,,,,,,,,,,,,,,,2020/09/25,2742,,,2020/09/25,4083,,,2020/09/25,878,,,2020/09/25,3471,,,2020/09/25,2204,,,2020/09/25,3619
,,,,,,,,,,,,,,,,2020/09/26,7786,,,2020/09/26,1618,,,2020/09/26,9368,,,2020/09/26,958,,,2020/09/26,7713,,,2020/09/26,6867
,,,,,,,,,,,,,,,,2020/09/27,643,,,2020/09/27,9642,,,2020/09/27,3267,,,2020/09/27,6553,,,2020/09/27,2419,,,2020/09/27,6542
,,,,,,,,,,,,,,,,2020/09/28,6239,,,2020/09/28,4792,,,2020/09/28,3389,,,2020/09/28,3321,,,2020/09/28,7227,,,2020/09/28,6455
,,,,,,,,,,,,,,,,2020/09/29,7383,,,2020/09/29,6404,,,2020/09/29,2790,,,2020/09/29,6992,,,2020/09/29,764,,,2020/09/29,6137
,,,,,,,,,,,,,,,,2020/09/30,248,,,2020/09/30,6242,,,2020/09/30,4891,,,2020/09/30,4115,,,2020/09/30,769,,,2020/09/30,8465
,,,,,,,,,,,,,,,,2020/10/01,5975,,,2020/10/01,3780,,,2020/10/01,7503,,,2020/10/01,1641,,,2020/10/01,7369,,,2020/10/01,6172
,,,,,,,,,,,,,,,,2020/10/02,3661,,,2020/10/02,414,,,2020/10/02,6665,,,2020/10/02,1991,,,2020/10/02,9116,,,2020/10/02,2413
,,,,,,,,,,,,,,,,2020/10/03,9550,,,2020/10/03,2773,,,2020/10/03,5711,,,2020/10/03,6877,,,2020/10/03,765,,,2020/10/03,3081
,,,,,,,,,,,,,,,,2020/10/04,6443,,,2020/10/04,1581,,,2020/10/04,9815,,,2020/10/04,868,,,2020/10/04,7854,,,2020/10/04,6080
,,,,,,,,,,,,,,,,2020/10/05,6292,,,2020/10/05,7073,,,2020/10/05,449,,,2020/10/05,1644,,,2020/10/05,1484,,,2020/10/05,6953
,,,,,,,,,,,,,,,,2020/10/06,1910,,,2020/10/06,404,,,2020/10/06,122,,,2020/10/06,7664,,,2020/10/06,8751,,,2020/10/06,2549
,,,,,,,,,,,,,,,,2020/10/07,7607,,,2020/10/07,4933,,,2020/10/07,5296,,,2020/10/07,8206,,,2020/10/07,8252,,,2020/10/07,4819
,,,,,,,,,,,,,,,,2020/10/08,8369,,,2020/10/08,5985,,,2020/10/08,9518,,,2020/10/08,8785,,,2020/10/08,8937,,,2020/10/08,6154
,,,,,,,,,,,,,,,,2020/10/09,2197,,,2020/10/09,6139,,,2020/10/09,4876,,,2020/10/09,3874,,,2020/10/09,3338,,,2020/10/09,8893
,,,,,,,,,,,,,,,,2020/10/10,3124,,,2020/10/10,4095,,,2020/10/10,1260,,,2020/10/10,2781,,,2020/10/10,5436,,,2020/10/10,7548
,,,,,,,,,,,,,,,,2020/10/11,6619,,,2020/10/11,7143,,,2020/10/11,7176,,,2020/10/11,7885,,,2020/10/11,7033,,,2020/10/11,4058
,,,,,,,,,,,,,,,,2020/10/12,5483,,,2020/10/12,8491,,,2020/10/12,1308,,,2020/10/12,9793,,,2020/10/12,1431,,,2020/10/12,2436
,,,,,,,,,,,,,,,,2020/10/13,1757,,,2020/10/13,6700,,,2020/10/13,877,,,2020/10/13,8696,,,2020/10/13,6338,,,2020/10/13,9097
,,,,,,,,,,,,,,,,2020/10/14,4571,,,2020/10/14,6677,,,2020/10/14,1922,,,2020/10/14,6703,,,2020/10/14,6707,,,2020/10/14,6818
,,,,,,,,,,,,,,,,2020/10/15,9901,,,2020/10/15,7441,,,2020/10/15,3500,,,2020/10/15,3253,,,2020/10/15,4504,,,2020/10/15,5616
,,,,,,,,,,,,,,,,2020/10/16,343,,,2020/10/16,2903,,,2020/10/16,4238,,,2020/10/16,581,,,2020/10/16,3361,,,2020/10/16,3466
,,,,,,,,,,,,,,,,2020/10/17,3181,,,2020/10/17,6094,,,2020/10/17,6273,,,2020/10/17,9016,,,2020/10/17,9909,,,2020/10/17,44
,,,,,,,,,,,,,,,,2020/10/18,655,,,2020/10/18,7900,,,2020/10/18,2246,,,2020/10/18,5054,,,2020/10/18,4235,,,2020/10/18,235
,,,,,,,,,,,,,,,,2020/10/19,2003,,,2020/10/19,6910,,,2020/10/19,2482,,,2020/10/19,707,,,2020/10/19,1634,,,2020/10/19,6631
,,,,,,,,,,,,,,,,2020/10/20,7738,,,2020/10/20,2636,,,2020/10/20,6898,,,2020/10/20,7674,,,2020/10/20,7171,,,2020/10/20,2210
,,,,,,,,,,,,,,,,2020/10/21,3167,,,2020/10/21,2152,,,2020/10/21,2112,,,2020/10/21,8955,,,2020/10/21,3860,,,2020/10/21,9386
,,,,,,,,,,,,,,,,2020/10/22,2674,,,2020/10/22,459,,,2020/10/22,4496,,,2020/10/22,549,,,2020/10/22,1846,,,2020/10/22,7103
,,,,,,,,,,,,,,,,2020/10/23,8528,,,2020/10/23,7913,,,2020/10/23,2403,,,2020/10/23,59,,,2020/10/23,8935,,,2020/10/23,1396
,,,,,,,,,,,,,,,,2020/10/24,2989,,,2020/10/24,3007,,,2020/10/24,1705,,,2020/10/24,3358,,,2020/10/24,2198,,,2020/10/24,5397
,,,,,,,,,,,,,,,,2020/10/25,1505,,,2020/10/25,4433,,,2020/10/25,5497,,,2020/10/25,1528,,,2020/10/25,5240,,,2020/10/25,973
,,,,,,,,,,,,,,,,2020/10/26,8434,,,2020/10/26,8552,,,2020/10/26,1190,,,2020/10/26,7884,,,2020/10/26,8030,,,2020/10/26,1236
,,,,,,,,,,,,,,,,2020/10/27,7661,,,2020/10/27,7232,,,2020/10/27,200,,,2020/10/27,568,,,2020/10/27,75,,,2020/10/27,3438
,,,,,,,,,,,,,,,,2020/10/28,8534,,,2020/10/28,6559,,,2020/10/28,6637,,,2020/10/28,8825,,,2020/10/28,7961,,,2020/10/28,8538
,,,,,,,,,,,,,,,,2020/10/29,3336,,,2020/10/29,6111,,,2020/10/29,2015,,,2020/10/29,5603,,,2020/10/29,5806,,,2020/10/29,1691
,,,,,,,,,,,,,,,,2020/10/30,8329,,,2020/10/30,8111,,,2020/10/30,6211,,,2020/10/30,2363,,,2020/10/30,146,,,2020/10/30,1533
,,,,,,,,,,,,,,,,2020/10/31,6282,,,2020/10/31,7201,,,2020/10/31,9518,,,2020/10/31,3915,,,2020/10/31,7937,,,2020/10/31,8111
